105教室,いちぜろごきょうしつ でんしじょうほうか 3ねん 3年 さんねん 電子情報科 でんじょう 電情,1F 教室棟 電子情報科 3年,71.0,-84,1,
106教室,いちぜろろくきょうしつ けんちくか 3ねん 3年 さんねん 建築科,1F 教室棟 建築科 3年,71.0,-78,1,
107教室,いちぜろななきょうしつ かんきょうせつびか 3ねん 3年 さんねん 環境設備科,1F 教室棟 環境設備科 3年,71.0,-72,1,
108教室,いちぜろはちきょうしつ かんきょうどぼくか 環境土木科 3ねん さんねん 3年,1F 教室棟 環境土木科 3年,71.0,-66,1,
多目的室①,たもくてきしつ いち 1,1F 管理棟,56,-145,1,進路担当の先生が企業の方とお話をするところです
進路指導相談室,しんろしどうそうだんしつ,1F 管理棟,56,-141,1,企業や大学の資料をもらうことができます
進路資料室,しんろしりょうしつ,1F 管理棟,59,-135,1,企業や大学の資料が置いてあります
倉庫④,そうこ4 いち,1F 管理棟,59,-131,1,倉庫です
大会議室,だいかいぎしつ,1F 管理棟,55,-128,1,委員会の集まりや、先生の会議で使われます
職員用玄関,しょくいんようげんかん,1F　管理棟,55.5,-118,1,
事務室,じむしつ,1F 管理棟,55,-113,1,書類の提出をしに行くことが多く、校章を買うこともできます
校長室,こうちょうしつ,1F 管理棟,56,-106,1,校長先生がいます
応接室,おうせつしつ,1F 管理棟,56,-102,1,お客様と先生が話すところです
放送室,ほうそうしつ,1F 管理棟,54,-98,1,放送室です。イベントごとでもよく使われます
倉庫①,そうこ いち 1,1F 管理棟,55,-99.5,1,倉庫です
職員室(全日制),しょくいんしつ (ぜんにちせい),1F 管理棟,55,-86,1,普通科目と専門科目に分かれて先生が座っています
職員更衣室,しょいくいんこういしつ,1F 管理棟,56,-72,1,先生の着替えをするところです
保健室,ほけんしつ,1F 管理棟,55,-66,1,ケガをしたり体調が悪ければ行きましょう
生徒相談室,せいとそうだんしつ,1F 管理棟,55,-58,1,先生との面談などで使われます
弓道場,きゅうどうじょう,1F,81.5,-39,1,弓道部が活動しています
プール,ぷーる,1F,82.35,-25,1,
第一体育館,だいいちたいいくかん,1F,63,-33,1,
